,precision,recall,f1-score,support
0,0.8571428571428571,1.0,0.923076923076923,60.0
1,0.9332460732984293,0.9902777777777778,0.9609164420485176,720.0
2,0.9533678756476683,0.9813333333333333,0.9671484888304862,750.0
3,0.9907834101382489,0.9555555555555556,0.9728506787330318,450.0
4,0.995334370139969,0.9696969696969697,0.9823484267075978,660.0
5,0.9790322580645161,0.9634920634920635,0.9712,630.0
6,1.0,0.9,0.9473684210526316,150.0
7,0.9902200488997555,0.9,0.9429569266589057,450.0
8,1.0,0.8711111111111111,0.9311163895486936,450.0
9,0.9871244635193133,0.9583333333333334,0.9725158562367865,480.0
10,0.9968102073365231,0.946969696969697,0.9712509712509712,660.0
11,0.926605504587156,0.9619047619047619,0.9439252336448597,420.0
12,0.8901808785529716,0.9985507246376811,0.9412568306010929,690.0
13,0.9944521497919556,0.9958333333333333,0.9951422623178348,720.0
14,0.9962962962962963,0.9962962962962963,0.9962962962962963,270.0
15,1.0,0.9238095238095239,0.9603960396039605,210.0
16,1.0,1.0,1.0,150.0
17,0.9916434540389972,0.9888888888888889,0.9902642559109874,360.0
18,0.9839142091152815,0.941025641025641,0.9619921363040629,390.0
19,1.0,1.0,1.0,60.0
20,0.978021978021978,0.9888888888888889,0.9834254143646408,90.0
21,0.9340659340659341,0.9444444444444444,0.9392265193370165,90.0
22,1.0,0.925,0.961038961038961,120.0
23,0.7653061224489796,1.0,0.8670520231213872,150.0
24,0.822429906542056,0.9777777777777777,0.8934010152284264,90.0
25,0.9493927125506073,0.9770833333333333,0.9630390143737165,480.0
26,0.9738562091503268,0.8277777777777777,0.8948948948948948,180.0
27,1.0,0.5,0.6666666666666666,60.0
28,0.9798657718120806,0.9733333333333334,0.9765886287625419,150.0
29,0.8333333333333334,1.0,0.9090909090909091,90.0
30,0.9879518072289156,0.5466666666666666,0.7038626609442059,150.0
31,0.9925925925925926,0.9925925925925926,0.9925925925925926,270.0
32,1.0,0.9333333333333333,0.9655172413793104,60.0
33,0.9722222222222222,1.0,0.9859154929577464,210.0
34,0.9916666666666667,0.9916666666666667,0.9916666666666667,120.0
35,0.9280575539568345,0.9923076923076923,0.9591078066914498,390.0
36,0.9212598425196851,0.975,0.9473684210526315,120.0
37,0.9827586206896551,0.95,0.9661016949152542,60.0
38,0.9828326180257511,0.9956521739130435,0.9892008639308856,690.0
39,0.8613861386138614,0.9666666666666667,0.9109947643979057,90.0
40,0.6692307692307692,0.9666666666666667,0.7909090909090909,90.0
41,0.7971014492753623,0.9166666666666666,0.8527131782945736,60.0
42,0.9529411764705882,0.9,0.9257142857142857,90.0
accuracy,0.9587490102929533,0.9587490102929533,0.9587490102929533,0.9587490102929533
macro avg,0.9474983135346079,0.9415024114465469,0.938793288049986,12630.0
weighted avg,0.9626758476093298,0.9587490102929533,0.9582395217985468,12630.0
